123246.0000,6325.78,"N",1023.43,"E",1,123246,3246,25.78,0.78,23.43,3.43,,9,,,,20.4,17.8,82.1,100.8,-0.99,,,,,,,,,,,,,,,,,,,,,
123247.0000,6325.78,"N",1023.43,"E",1,9,32.4,"M",1.84,"N",3.4,"K",,"T",,"M",20.4,17.8,82.1,100.8,-0.88,,,,,,,,,,,,,,,,,,,,,
123248.0000,6325.78,"N",1023.44,"E",1,8,31.8,"M",1.42,"N",2.6,"K",,"T",,"M",20.4,17.8,82.1,100.9,-0.88,,,,,,,,,,,,,,,,,,,,,
123249.0000,6325.78,"N",1023.44,"E",1,9,31.2,"M",1.34,"N",2.5,"K",,"T",,"M",20.3,17.8,82.1,100.9,-0.77,,,,,,,,,,,,,,,,,,,,,
123251.0000,6325.78,"N",1023.44,"E",1,9,30.2,"M",,"N",2.8,"K",,"T",,"M",19.9,17.6,82.1,100.9,-0.88,,,,,,,,,,,,,,,,,,,,,
123252.0000,6325.78,"N",1023.44,"E",1,9,29.9,"M",,"N",1.9,"K",,"T",,"M",20.1,17.1,82.1,100.9,-1,,,,,,,,,,,,,,,,,,,,,
123253.0000,6325.78,"N",1023.44,"E",1,9123253,23253,325.78,5.78,1023.44,23.44,1,9,5,,"M",19.5,17.1,82.1,101,-0.88,,,,,,,,,,,,,,,,,,,,,
123254.0000,6325.78,"N",1023.44,"E",1,9,31.6,"M",1.32,"N",2.4,"K",,"T",,"M",19.5,16.9,82.4,100.9,-0.88,,,,,,,,,,,,,,,,,,,,,
123255.0000,6325.78,"N",1023.45,"E",1,9,31.5,"M",1.66,"N",3.1,"K",,"T",,"M",19.5,16.4,82.7,100.9,-1,,,,,,,,,,,,,,,,,,,,,
123256.0000,6325.78,"N",1023.45,23256,256,6,0,6,"N",65,,0.1,,,,,19.5,16.4,84.1,100.9,-0.88,,,,,,,,,,,,,,,,,,,,,
123257.0000,6325.78,"N","01023.44123258.000",258,8,0,,"N",1023.45,,,,,,0.85,,19.5,16.4,84.4,100.9,-0.99,,,,,,,,,,,,,,,,,,,,,
123259.0000,6325.78,"N",1023.45,"E",1,9,29.2,"M",,"N",2.1,"K",,"T",,"M",19.5,16.4,84.4,100.9,-0.88,,,,,,,,,,,,,,,,,,,,,
123300.0000,6325.78,"N",1023.45,"E",1,9,30.2,"M",,"N",2.6,"K",,"T",,"M",19.5,16.4,84.4,100.9,-0.88,,,,,,,,,,,,,,,,,,,,,
123301.0000,6325.78,"N",1023.45,"E",1,9,31.2,"M",,"N",3.9,"K",,"T",,"M",19.5,16.4,84.4,100.9,-0.99,,,,,,,,,,,,,,,,,,,,,
123302.0000,6325.78,"N",1023.46,"E",1,9,31.6,"M",1.93,"N",3.6,"K",,"T",,"M",19.5,16.4,84.4,100.9,-1,,,,,,,,,,,,,,,,,,,,,
123303.0000,6325.78,"N",1023.46,"E",1,9,31,"M",1.28,"N",2.4,"K",,"T",,"M",19.5,16.4,84.4,100.9,-1.11,,,,,,,,,,,,,,,,,,,,,
123304.0000,6325.78,"N",1023.46,"E",1,9,32.2,"M",1.36,"N",2.5,"K",,"T",,"M",19.5,16.4,84.4,100.9,-1.11,,,,,,,,,,,,,,,,,,,,,
123306.0000,6325.78,"N",1023.46,"E",1,9,33.7,"M",,"N",3,"K",,"T",,"M",19.3,16.7,84.4,100.9,-1.22,,,,,,,,,,,,,,,,,,,,,
123307.0000,6325.78,"N",1023.46,"E",1,9,34.4,"M",,"N",3.1,"K",,"T",,"M",19.5,16.9,84.4,100.9,-1,,,,,,,,,,,,,,,,,,,,,
123308.0000,6325.78,"N",1023.47,"E",1,9,35.7,"M",2.23,"N",4.1,"K",,"T",,"M",19.3,17.1,84.4,100.9,-1,,,,,,,,,,,,,,,,,,,,,
123309.0000,6325.78,"N",1023.46,"E",1,9,37,"M",2.2,"N",4.1,"K",,"T",,"M",19.1,17.1,84.4,100.8,-0.88,,,,,,,,,,,,,,,,,,,,,
123310.0000,6325.78,"N",1023.46,"E",1,9,37.6,"M",2.15,"N",4,"K",,"T",,"M",19,17.1,84.4,100.8,-0.88,,,,,,,,,,,,,,,,,,,,,
123311.0000,6325.78,"N",1023.46,"E",1,9,40,"M",2.31,"N",4.3,"K",,"T",,"M",18.8,17.1,84.4,100.9,-0.88,,,,,,,,,,,,,,,,,,,,,
123313.0000,6325.78,"N",1023.46,"E",1,9,44.9,"M",,"N",5.3,"K",,"T",,"M",18.7,17.1,84.4,100.9,-0.88,,,,,,,,,,,,,,,,,,,,,
123314.0000,6325.79,"N",1023.46,"E",1,9,46,"M",,"N",4.6,"K",,"T",,"M",18.7,17.1,84.4,100.9,-0.99,,,,,,,,,,,,,,,,,,,,,
123316.0000,6325.79,"N",1023.46,"E",1,9,48,"M",,"N",5.1,"K",,"T",,"M",18.7,17.1,84.4,100.9,-1.22,,,,,,,,,,,,,,,,,,,,,
123317.0000,6325.79,"N",1023.46,"E",1,9,48.7,"M",2.39,"N",4.4,"K",,"T",,"M",18.7,17.1,84.7,100.9,-1.33,,,,,,,,,,,,,,,,,,,,,
123318.0000,6325.79,"N",1023.46,"E",1,9,50,"M",2.59,"N",4.8,"K",,"T",,"M",18.7,17.1,86.5,100.8,-1.33,,,,,,,,,,,,,,,,,,,,,
123319.0000,6325.79,"N",1023.46,"E",1,9,51.1,"M",2.87,"N",5.3,"K",,"T",,"M",18.7,17.1,86.5,100.8,-1.33,,,,,,,,,,,,,,,,,,,,,
123321.0000,6325.79,"N",1023.46,"E",1,9,54.2,"M123321.000",23321,6325.79,25.79,1023.46,23.46,16,,9,18.7,17.1,86.2,100.9,-1.11,,,,,,,,,,,,,,,,,,,,,
123322.0000,6325.79,"N",1023.46,"E",1,8,54.6,"M",,"N",4.4,"K",,"T",,"M",18.7,17.1,86.5,100.8,-1,,,,,,,,,,,,,,,,,,,,,
123323.0000,6325.79,"N",1023.46,"E",1,9,55.2,"M",2.15,"N",4,"K",,"T",,"M",18.7,17.1,86.5,100.7,-0.99,,,,,,,,,,,,,,,,,,,,,
123324.0000,6325.79,"N",1023.46,"E",1,9,57.3,"M",2.72,"N",5,"K",,"T",,"M",18.7,17.1,86.5,100.8,-0.88,,,,,,,,,,,,,,,,,,,,,
